Ticker,PE,PB,ROE,Debt/Equity
TSLA,379.58127,19.068338,0.049250003,17.763
AMZN,33.50212,6.8482375,0.24327,43.405
AAPL,34.31353,45.25175,1.5202099,102.63
KO,25.377483,10.552114,0.42442,144.771
PLTR,246.16406,56.9783,0.19504,3.52
LMT,29.156511,21.35899,0.76865,338.804
TMQ,,7.0344825,-0.069970004,0.095
RKLB,,30.054241,-0.2324,40.33
