Ticker,Current Price,DCF Value,Upside (%)
AAPL,269.48,68.4,-74.62
PLTR,157.88,3.57,-97.74
AMZN,238.62,-1.5,-100.63
GOOGL,339.71,0.73,-99.79
KO,76.89,-0.06,-100.07
F,13.73,-0.0,-100.0
