Ticker,,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Average Dilution Earnings,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Gain On Sale Of Ppe,Gain On Sale Of Business,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,General And Administrative Expense,Other Gand A,Salaries And Wages,Other Special Charges,Write Off,Selling And Marketing Expense,Earnings From Equity Interest Net Of Tax,Preferred Stock Dividends,Net Income Discontinuous Operations,Total Other Finance Cost,Occupancy And Equipment,Professional Expense And Contract Services Expense,Other Non Interest Expense,Other Taxes
META,2024-12-31,-81075952.054116,0.117501,87566000000.0,-690000000.0,-690000000.0,62360000000.0,15498000000.0,30161000000.0,86876000000.0,71378000000.0,1973000000.0,715000000.0,2517000000.0,62968924047.945885,62360000000.0,95121000000.0,,69380000000.0,2614000000.0,2534000000.0,23.86,24.61,62360000000.0,,62360000000.0,,62360000000.0,,62360000000.0,62360000000.0,8303000000.0,70663000000.0,-690000000.0,,,,1973000000.0,715000000.0,2517000000.0,69380000000.0,64960000000.0,43873000000.0,21087000000.0,134340000000.0,30161000000.0,164501000000.0,162779000000.0,,,,,-690000000.0,,,,,,9740000000.0,9740000000.0,,,,11347000000.0,,,,-171000000.0,,,,
META,2023-12-31,-64416000.0,0.176,59418000000.0,-366000000.0,-366000000.0,39098000000.0,11178000000.0,25959000000.0,59052000000.0,47874000000.0,1043000000.0,446000000.0,1639000000.0,39399584000.0,39098000000.0,88151000000.0,,46751000000.0,2629000000.0,2574000000.0,14.87,15.19,39098000000.0,,39098000000.0,,39098000000.0,,39098000000.0,39098000000.0,8330000000.0,47428000000.0,-366000000.0,,,,1043000000.0,446000000.0,1639000000.0,46751000000.0,62192000000.0,38483000000.0,23709000000.0,108943000000.0,25959000000.0,134902000000.0,133844000000.0,,,,,-366000000.0,,,,,,11408000000.0,11408000000.0,,,,12301000000.0,,,,150000000.0,,,,
META,2022-12-31,-15795000.0,0.195,37771000000.0,-81000000.0,-81000000.0,23200000000.0,8686000000.0,25249000000.0,37690000000.0,29004000000.0,-44000000.0,185000000.0,461000000.0,23265205000.0,23200000000.0,87665000000.0,,28944000000.0,2702000000.0,2687000000.0,8.59,8.63,23200000000.0,,23200000000.0,,23200000000.0,,23200000000.0,23200000000.0,5619000000.0,28819000000.0,-81000000.0,-320000000.0,,,-44000000.0,185000000.0,461000000.0,28944000000.0,62416000000.0,35338000000.0,27078000000.0,91360000000.0,25249000000.0,116609000000.0,115801000000.0,,,,,-81000000.0,,,,,,11816000000.0,11816000000.0,,,,15262000000.0,,,,320000000.0,,,,
META,2021-12-31,,,,,,,,,,,,,,,,,,,2859000000.0,2815000000.0,13.77,13.99,,,,,,,,,,,,210000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVGO,2025-10-31,-127680000.0,0.21,35322000000.0,-608000000.0,-608000000.0,23126000000.0,8775000000.0,13849000000.0,34714000000.0,25939000000.0,-2863000000.0,3210000000.0,347000000.0,23606320000.0,23126000000.0,37812000000.0,,25484000000.0,4853000000.0,4712000000.0,4.77,4.91,23126000000.0,,23126000000.0,,23126000000.0,,23126000000.0,23126000000.0,-397000000.0,22729000000.0,-483000000.0,125000000.0,-591000000.0,591000000.0,-2863000000.0,3210000000.0,347000000.0,26075000000.0,17219000000.0,10977000000.0,4211000000.0,43294000000.0,20593000000.0,63887000000.0,63887000000.0,,,,,-17000000.0,,2031000000.0,2031000000.0,2031000000.0,2031000000.0,,,,,,,,,0.0,,,,,
AVGO,2024-10-31,-584010000.0,0.378,25424000000.0,-1545000000.0,-1545000000.0,6168000000.0,10010000000.0,12299000000.0,23879000000.0,13869000000.0,-3492000000.0,3953000000.0,461000000.0,7128990000.0,5895000000.0,36578000000.0,,13463000000.0,4778000000.0,4624000000.0,1.23,1.27,5895000000.0,,5895000000.0,,5895000000.0,,5895000000.0,6168000000.0,3748000000.0,9916000000.0,-1588000000.0,-43000000.0,-1533000000.0,1533000000.0,-3492000000.0,3953000000.0,461000000.0,14996000000.0,17513000000.0,9310000000.0,4959000000.0,32509000000.0,19065000000.0,51574000000.0,51574000000.0,,,,,-12000000.0,,3244000000.0,3244000000.0,3244000000.0,3244000000.0,,,,,,,,,-273000000.0,,,,,
AVGO,2023-10-31,-15611000.0,0.067,20787000000.0,-233000000.0,-233000000.0,14082000000.0,3835000000.0,8688000000.0,20554000000.0,16719000000.0,-1087000000.0,1622000000.0,535000000.0,14299389000.0,14082000000.0,19368000000.0,,16207000000.0,4270000000.0,4150000000.0,3.298,3.393,14082000000.0,,14082000000.0,,14082000000.0,,14082000000.0,14082000000.0,1015000000.0,15097000000.0,-267000000.0,-34000000.0,-244000000.0,244000000.0,-1087000000.0,1622000000.0,535000000.0,16451000000.0,8239000000.0,5253000000.0,1592000000.0,24690000000.0,11129000000.0,35819000000.0,35819000000.0,,,,,11000000.0,,1394000000.0,1394000000.0,1394000000.0,1394000000.0,,,,,,,,,0.0,,,,,
AVGO,2022-10-31,-16950000.0,0.075,19381000000.0,-226000000.0,-226000000.0,11495000000.0,4984000000.0,7636000000.0,19155000000.0,14171000000.0,-1637000000.0,1737000000.0,100000000.0,11704050000.0,11495000000.0,18921000000.0,,14225000000.0,4230000000.0,4090000000.0,2.653,2.744,11223000000.0,,11223000000.0,,11495000000.0,,11495000000.0,11495000000.0,939000000.0,12434000000.0,-211000000.0,15000000.0,-57000000.0,57000000.0,-1637000000.0,1737000000.0,100000000.0,14282000000.0,7813000000.0,4919000000.0,1382000000.0,22095000000.0,11108000000.0,33203000000.0,33203000000.0,,,,,-169000000.0,,1512000000.0,1512000000.0,1512000000.0,1512000000.0,,,,,,,,272000000.0,0.0,,,,,
AVGO,2021-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000000.0,,,,,,
TSM,2024-12-31,197845319.246856,0.176632,2078011900000.0,1120100000.0,1120100000.0,1158380200000.0,662796600000.0,1269954100000.0,2079132000000.0,1416335400000.0,76718000000.0,10495400000.0,87213400000.0,1157457945319.2468,1158380200000.0,1572304600000.0,,1322053000000.0,5185929000.0,5185511200.0,226.25,226.25,1158380200000.0,,1158380200000.0,,1158380200000.0,856300000.0,1157523900000.0,1157523900000.0,248316100000.0,1405840000000.0,7118900000.0,1118100000.0,7100000.0,,76718000000.0,10495400000.0,87213400000.0,1322003100000.0,302350500000.0,204181800000.0,96888600000.0,1624353600000.0,1269954100000.0,2894307700000.0,2894307700000.0,,7100000.0,,4880700000.0,1113000000.0,1280100000.0,,,,,83745000000.0,83745000000.0,,,,13143600000.0,,,,-76718000000.0,,,,
